CELL_ID,GRID_ID,,,RSRP,,
22293449,11702000|4004740,11702000,4004740,-102.09,117.02,40.0474
4307458,11704180|4027180,11704180,4027180,-115,117.0418,40.2718
25293771,11640780|4002800,11640780,4002800,-94.89,116.4078,40.028
18605826,11629360|3988380,11629360,3988380,-88.08,116.2936,39.8838
25884617,11628940|3977960,11628940,3977960,-95.85,116.2894,39.7796
129166469,11702000|4026840,11702000,4026840,-97.52,117.02,40.2684
20607745,11682540|3981080,11682540,3981080,-83,116.8254,39.8108
24511433,11717700|4012200,11717700,4012200,-91.62,117.177,40.122
18948099,11655360|3989380,11655360,3989380,-89.5,116.5536,39.8938
18552323,11630620|3978700,11630620,3978700,-74.13,116.3062,39.787
22415050,11707940|4018260,11707940,4018260,-96.14,117.0794,40.1826
22876617,11654280|3989860,11654280,3989860,-90.93,116.5428,39.8986
20500739,11700260|4006560,11700260,4006560,-81.91,117.0026,40.0656
18626057,11636740|3990640,11636740,3990640,-77.46,116.3674,39.9064
4538626,11655680|3986100,11655680,3986100,-94.7,116.5568,39.861
24520900,11712160|4016480,11712160,4016480,-103.28,117.1216,40.1648
18887179,11663680|3992780,11663680,3992780,-85.15,116.6368,39.9278
20532226,11682820|3973760,11682820,3973760,-95.81,116.8282,39.7376
20580354,11711580|4015700,11711580,4015700,-77.39,117.1158,40.157
129855108,11609020|3971900,11609020,3971900,-82.39,116.0902,39.719
22294475,11701720|4007360,11701720,4007360,-76.29,117.0172,40.0736
20796417,11654780|4007080,11654780,4007080,-75.5,116.5478,40.0708
22887881,11658200|3999640,11658200,3999640,-89.64,116.582,39.9964
20531713,11684760|3972980,11684760,3972980,-88.26,116.8476,39.7298
18472961,11635620|3981180,11635620,3981180,-91.08,116.3562,39.8118
23231435,11672220|3985060,11672220,3985060,-90.82,116.7222,39.8506
22355913,11649540|3973640,11649540,3973640,-92.22,116.4954,39.7364
127227012,11685860|3972940,11685860,3972940,-102.08,116.8586,39.7294
22815690,11662580|4026800,11662580,4026800,-97.26,116.6258,40.268
22542539,11641640|4005620,11641640,4005620,-92.72,116.4164,40.0562
127074443,11637180|3999720,11637180,3999720,-92.2,116.3718,39.9972
24522699,11705660|4019360,11705660,4019360,-90.1,117.0566,40.1936
127776132,11681680|3973120,11681680,3973120,-85.37,116.8168,39.7312
18880523,11711240|4013780,11711240,4013780,-87.59,117.1124,40.1378
227536863,11710660|4013380,11710660,4013380,-92.33,117.1066,40.1338
23014859,11684560|4046020,11684560,4046020,-96.51,116.8456,40.4602
20846851,11653600|4024600,11653600,4024600,-93.77,116.536,40.246
127363460,11700440|4007880,11700440,4007880,-89.1,117.0044,40.0788
18941698,11649540|3976720,11649540,3976720,-98.34,116.4954,39.7672
23822547,11646100|4001700,11646100,4001700,-73.82,116.461,40.017
129088387,11685920|4013500,11685920,4013500,-98.3,116.8592,40.135
