LTE.758459.17,108.350903,22.815278
LTE.758459.18,108.350903,22.815278
LTE.758459.19,108.350903,22.815278
LTE.757995.17,108.342917,22.816111
LTE.757995.18,108.342917,22.816111
LTE.757995.19,108.342917,22.816111
LTE.736271.51,108.343585,22.818338
LTE.736271.49,108.343585,22.818338
LTE.734474.49,108.379097,22.825278
LTE.734474.50,108.379097,22.825278
LTE.734474.51,108.379097,22.825278
LTE.734506.50,108.4025,22.816528
LTE.734506.49,108.4025,22.816528
LTE.736511.52,108.37975,22.81531
LTE.736511.53,108.37975,22.81531
LTE.736511.54,108.37975,22.81531
LTE.734677.57,108.38171,22.83302
LTE.734677.58,108.38171,22.83302
LTE.734677.59,108.38171,22.83302
LTE.736340.49,108.37106,22.83087
LTE.736340.50,108.37106,22.83087
LTE.736340.51,108.37106,22.83087
LTE.734471.53,108.364792,22.825694
LTE.734471.52,108.364792,22.825694
LTE.734471.49,108.364792,22.825694
LTE.758478.18,108.366806,22.823403
LTE.758478.19,108.366806,22.823403
LTE.758407.17,108.376528,22.817292
LTE.758407.18,108.376528,22.817292
LTE.758407.19,108.376528,22.817292
LTE.758478.17,108.366806,22.823403
LTE.736221.58,108.368724,22.822918
LTE.736221.59,108.368724,22.822918
LTE.736221.60,108.368724,22.822918
LTE.752390.49,108.3706039,22.82438777
LTE.752390.50,108.3706039,22.82438777
LTE.752390.51,108.3706039,22.82438777
LTE.752390.4,108.3706039,22.82438777
LTE.752390.6,108.3706039,22.82438777
LTE.736300.52,108.37154,22.82539
LTE.736300.53,108.37154,22.82539
LTE.736300.54,108.37154,22.82539
LTE.736459.5,108.37524,22.82661
LTE.736459.6,108.37524,22.82661
LTE.736459.55,108.37524,22.82661
LTE.734470.49,108.371597,22.820278
LTE.734470.52,108.371597,22.820278
LTE.734470.53,108.371597,22.820278
LTE.734470.2,108.371597,22.820278
LTE.734470.6,108.371597,22.820278
LTE.734470.7,108.371597,22.820278
LTE.734470.3,108.371597,22.820278
LTE.736511.58,108.37004,22.81879
LTE.736511.59,108.37004,22.81879
LTE.736511.60,108.37004,22.81879
LTE.736511.7,108.37004,22.81879
LTE.736511.8,108.37004,22.81879
LTE.736511.9,108.37004,22.81879
LTE.758471.17,108.368819,22.817917
LTE.758471.18,108.368819,22.817917
LTE.758471.19,108.368819,22.817917
